Financial Years	Q109	Q209	Q309	Q409	Q110	Q210	Q310	Q410	Q111	Q211	Q311	Q411	Q112	Q212	Q312	Q412	Q113	Q213	Q313	Q413	Q114	Q214	Q314	Q414	Q115	Q215	Q315	Q415	Q116	Q216	Q316	Q416	Q117	Q217	Q317	Q417	Q118	Q218	Q318	Q418	Q119	Q219	Q319	Q419	Q120	Q220	Q320	Q420	Q121	Q221	Q321	Q421	Q122	Q222	Q322	Q422	Q123	Q223	Q323	Q423	Q124	Q224	Q324	Q424	Q125	Q225	Q126	Q226
Investments accounted for using equity method	7,121	6,822	6,584	4,679	4,594	5,006	4,879	4,724	5,076	4,703	4,450	4,966	5,092	4,537	4,330	4,436	4,586	4,641	2,997	3,022	3,085	3,253	3,525	2,127	2,326	3,032	3,160	2,947	3,088	3,054	3,065	3,012	3,143	2,873	2,725	2,727	2,756	2,643	2,701	2,579	2,473	2,508	2,414	2,244	2,227	1,384	1,298	7,862	7,829	7,847	7,763	7,539	7,700	7,605	4,900	4,955	3,335	4,882	3,212	3,014	1,159	1,182	1,061	980	1,060	1,004	864	921
Other Financial Assets	9,260	10,084	9,699	10,525	10,326	10,302	11,138	11,296	10,065	9,328	9,829	12,126	13,248	12,759	13,638	14,666	14,702	14,369	14,213	15,117	15,760	16,461	16,847	18,416	19,211	22,238	21,360	20,821	20,498	20,036	19,843	20,610	20,664	20,712	20,243	19,044	18,535	16,636	17,427	17,759	18,399	18,672	18,854	19,843	19,722	21,064	21,432	22,771	20,537	20,175	22,243	22,964	22,395	23,152	24,172	25,903	23,591	22,929	23,018	22,855	24,020	24,403	26,174	27,388	27,640	27,926	31,430	27,306
Deferred Tax Assets	3,123	3,142	3,137	3,291	3,207	3,329	3,783	3,940	3,385	2,807	2,927	3,206	3,215	3,449	3,739	3,777	3,352	3,338	3,055	3,234	3,008	3,152	3,322	3,334	3,489	4,181	3,115	2,591	2,752	2,864	2,923	3,431	2,521	2,145	1,992	2,283	2,464	2,522	2,421	2,341	2,517	2,757	2,975	3,174	3,095	2,385	2,798	2,988	3,110	2,828	2,740	2,865	2,728	2,667	2,455	2,459	2,186	1,967	2,609	2,235	2,518	2,566	2,576	2,677	2,754	2,354	1,528	1,595
Other Assets	664	673	615	627	683	681	714	739	780	678	676	776	734	762	793	846	907	964	958	872	952	972	937	945	1,242	1,336	1,136	1,094	1,216	1,169	1,178	1,279	1,396	1,424	1,375	1,498	1,744	1,841	1,796	1,810	1,964	2,056	2,097	2,475	2,029	1,987	1,837	1,769	1,597	1,657	1,958	2,183	2,438	1,948	1,924	1,565	1,447	1,565	1,482	1,523	1,946	2,505	2,778	2,196	2,069	2,127	2,564	2,509
Total Assets	97,422	98,742	96,912	94,926	95,731	97,832	104,783	102,827	104,939	101,922	101,321	104,243	105,858	105,151	108,256	108,282	104,977	105,894	106,514	101,936	101,672	101,045	102,856	104,879	108,729	115,900	121,631	120,348	123,286	118,327	120,885	125,717	126,230	131,366	135,227	136,111	136,056	133,375	134,081	138,915	143,608	142,928	143,532	150,248	152,344	154,174	157,086	123,897	121,433	131,658	136,831	139,372	144,409	143,946	145,988	151,502	143,929	142,997	143,684	145,071	144,784	144,751	148,121	147,812	157,855	162,593	170,134	167,971

Liabilities
Short-Term Debt	4,914	3,019	2,269	698	423	395	458	2,416	4,051	5,016	4,971	3,660	2,841	4,799	5,236	3,826	3,709	2,752	3,656	1,944	2,883	3,757	4,092	1,620	3,556	4,236	4,225	2,979	6,286	6,825	5,914	6,206	4,794	5,184	6,863	5,447	5,541	5,663	3,061	5,057	7,833	8,992	9,750	6,034	6,751	6,908	5,459	6,562	7,538	8,528	10,778	7,821	9,701	10,499	9,899	6,658	7,106	9,411	9,687	7,483	9,711	7,135	7,809	6,598	8,149	18,887	13,630	12,638
Trade Payables	7,878	7,831	7,083	7,593	6,823	7,142	7,578	7,880	7,572	7,063	6,634	7,677	7,187	7,425	7,655	8,036	6,452	6,801	7,067	7,599	6,534	6,787	6,757	7,594	6,825	7,245	7,340	7,774	7,141	7,148	7,505	8,048	7,513	7,968	9,599	9,756	8,902	8,938	9,560	10,716	10,014	10,259	10,411	11,409	10,470	6,201	6,131	7,873	7,025	7,274	8,034	8,832	8,486	8,932	9,128	10,317	9,443	9,544	9,454	10,130	9,204	8,947	8,348	8,843	8,701	8,764	8,572	8,950
Other Current Financial Liabilities	2,973	2,701	2,212	1,600	1,794	1,717	2,457	1,401	1,836	2,480	1,677	2,247	2,223	1,584	1,813	1,460	1,829	1,796	1,806	1,515	1,724	1,583	1,496	1,717	2,111	2,499	2,153	2,085	2,051	1,914	2,104	1,933	2,224	1,919	1,546	1,444	1,636	1,469	1,404	1,485	1,541	1,513	1,512	1,743	1,662	1,494	1,202	1,958	2,314	1,757	1,925	1,731	1,434	1,356	1,801	1,616	1,591	1,389	1,542	1,613	2,419	2,132	2,093	2,006	2,327	2,462	2,467	3,406
Current Provisions	3,921	3,993	3,912	4,191	4,258	4,538	4,771	5,138	5,322	4,917	4,809	5,168	5,126	4,600	4,530	4,750	4,637	4,656	4,630	4,485	4,290	4,550	4,263	4,354	4,499	4,357	4,236	4,489	4,472	4,491	4,261	4,166	3,990	3,989	4,076	4,077	4,200	3,842	3,773	3,931	3,913	3,684	3,551	3,682	3,512	1,668	1,535	1,674	1,582	1,611	2,035	2,293	2,245	2,234	2,153	2,156	2,119	2,066	2,209	2,320	2,502	2,449	2,390	2,730	2,715	2,574	2,136	1,956
Income Tax Payable	1,835	1,778	1,879	1,936	2,045	1,933	2,194	1,816	1,769	1,794	1,702	2,032	2,198	2,180	2,171	2,204	2,262	1,741	1,751	2,151	1,953	1,704	1,710	1,762	1,794	2,028	1,846	1,828	1,736	1,766	1,691	2,085	2,175	2,034	2,431	2,355	2,395	2,773	2,472	3,102	2,902	2,510	2,438	2,378	2,170	1,964	2,233	2,281	2,232	1,628	1,643	1,809	1,783	1,476	1,849	2,381	2,516	2,131	2,237	2,566	2,671	1,753	1,916	1,805	2,174	1,591	2,168	1,969
Other Current Liabilities	21,384	20,689	20,068	20,311	20,224	20,358	21,218	21,794	22,143	19,816	20,387	21,020	21,738	20,928	20,591	20,306	19,542	21,846	21,689	19,701	18,719	18,486	18,292	17,954	18,101	18,783	19,853	20,368	20,217	19,917	20,377	20,437	20,342	20,493	20,387	8,671	8,197	7,783	8,318	9,118	8,502	7,817	8,378	9,023	8,427	5,477	5,724	6,209	5,640	5,937	6,776	7,628	6,726	6,258	6,754	7,448	6,571	6,258	6,990	8,182	7,050	6,690	7,134	7,833	7,264	6,777	7,304	6,796
Liabilities associated with assets classified as held	101	147	212	157	107	121	141	146	149	2,971	3,126	1,756	1,669	1,686	1,925	2,054	2,053	1,953	2,075	473	418	126	1,301	1,597	1,612	32	163	39	64	1	29	40	6	86	82	99	3	3	1	1	5	1	1	2	1	26,171	27,290	35	711	11	10	10	43	719	328	61	33	22	6	50	74	38	1,312	1,245	52	8	152	100
Total Current Liabilities	43,006	40,158	37,635	36,486	35,674	36,204	38,817	40,591	42,842	44,057	43,306	43,560	42,982	43,202	43,920	42,637	40,483	41,544	42,674	37,868	36,521	36,994	37,912	36,598	38,498	39,180	39,816	39,562	41,968	42,061	41,881	42,916	41,044	41,672	44,983	46,077	46,033	45,396	43,715	47,874	50,797	50,783	52,553	50,723	50,243	57,292	57,108	34,117	34,627	34,629	40,209	40,000	40,693	42,684	43,910	42,686	41,284	43,025	44,818	44,913	46,413	42,400	43,795	43,913	44,691	54,434	49,348	49,516
Long-Term Debt	15,511	19,697	19,028	18,940	18,776	19,174	20,032	17,497	15,656	14,196	14,191	14,280	14,566	14,731	15,234	16,880	16,651	20,182	19,140	18,509	18,377	18,587	18,364	19,326	19,628	20,361	26,860	26,682	25,476	22,550	22,788	24,761	25,803	31,977	27,520	26,777	26,382	25,259	26,108	27,120	27,756	27,479	26,124	30,414	33,329	36,827	40,619	38,005	35,942	43,570	40,333	40,879	41,766	41,254	41,657	43,978	42,137	40,619	39,203	39,113	39,610	43,316	42,093	41,321	41,735	38,635	42,835	41,523
